Date,Experiment ID,Species ID,Day,OD,pH,Nitrate,Salinity,Temp,Remarks,Harvest,Carbohydrate,Chlorophyll a,Chlorophyll b,Total Carotenoid a,Total Carotenoid b,Lipid,Protein
11-Mar,,Chlorella sp.,1,0.0094,,,,,,,0.098484848,0.115108,0.428164,0.665199048,0.313056,1.423684211,1.029545455
12-Mar,,Chlorella sp.,2,0.0255,,,,,,,0.472727273,0.56001,0.89279,0.96840728,0.33278,3.285087719,3.395833333
13-Mar,,Chlorella sp.,3,0.04193,,,,,,,1.463636364,0.942658,1.131084,1.420444488,0.188426,5.319298246,5.578484848
14-Mar,,Chlorella sp.,4,0.0572,,,,,,,2.637373737,1.536251,1.709708,1.864286256,0.173457,5.410526316,8.132424242
15-Mar,,Chlorella sp.,5,0.0701,,,,,,,3.675757576,2.105074,2.514972,2.120490504,0.409898,5.576315789,8.661969697
16-Mar,,Chlorella sp.,6,0.0791,,,,,,,7.271212121,3.315228,5.023024,2.771232368,1.707796,5.76754386,9.414242424
17-Mar,,Chlorella sp.,7,0.0865,,,,,,,9.318181818,3.644538,9.994256,3.84450656,6.349718,5.986842105,11.434235
18-Mar,,Chlorella sp.,8,0.0988,,,,,,,11.49848485,2.409474,6.241974,1.565403544,3.8325,8.954385965,8.4244
19-Mar,,Chlorella sp.,9,0.1057,,,,,,,12.84242424,2.162936,6.090888,1.722399016,3.927952,11.32368421,6.42142
20-Mar,,Chlorella sp.,10,0.1146,,,,,,,12.38838384,1.84144,4.75021,1.75293172,2.90877,12.36315789,4.24125
21-Mar,,Chlorella sp.,11,0.1267,,,,,,,9.558080808,1.817747,3.981176,1.445008832,2.163429,12.22807018,3.5125
22-Mar,,Chlorella sp.,12,0.135,,,,,,,6.824242424,1.926816,2.715348,1.630887736,0.788532,10.57631579,3.5125
23-Mar,,Chlorella sp.,13,0.138,,,,,,,6.05,1.745125,2.2689,1.4372438,0.523775,8.189473684,2.515125
24-Mar,,Chlorella sp.,14,0.1417,,,,,,,4.309090909,1.173828,1.561094,1.583318808,0.387266,7.518421053,2.5153
25-Mar,,Chlorella sp.,15,0.142,,,,,,,,,,,,,
26-Mar,,Chlorella sp.,16,0.1431,,,,,,,,,,,,,
27-Mar,,Chlorella sp.,17,0.144,,,,,,,,,,,,,
28-Mar,,Chlorella sp.,18,0.138,,,,,,,,,,,,,
29-Mar,,Chlorella sp.,19,0.1316,,,,,,,,,,,,,
30-Mar,,Chlorella sp.,20,0.1269,,,,,,,,,,,,,
31-Mar,,Chlorella sp.,21,0.1115,,,,,,,,,,,,,
1-Apr,,,,,,,,,,,,,,,,,
2-Apr,,,,,,,,,,,,,,,,,
3-Apr,,,,,,,,,,,,,,,,,
4-Apr,,,,,,,,,,,,,,,,,
5-Apr,,,,,,,,,,,,,,,,,
6-Apr,,,,,,,,,,,,,,,,,
7-Apr,,,,,,,,,,,,,,,,,
8-Apr,,,,,,,,,,,,,,,,,
9-Apr,,,,,,,,,,,,,,,,,
10-Apr,,,,,,,,,,,,,,,,,
11-Apr,,,,,,,,,,,,,,,,,
12-Apr,,,,,,,,,,,,,,,,,
13-Apr,,,,,,,,,,,,,,,,,
14-Apr,,,,,,,,,,,,,,,,,
15-Apr,,,,,,,,,,,,,,,,,
16-Apr,,,,,,,,,,,,,,,,,
17-Apr,,,,,,,,,,,,,,,,,
18-Apr,,,,,,,,,,,,,,,,,
19-Apr,,,,,,,,,,,,,,,,,
20-Apr,,,,,,,,,,,,,,,,,
21-Apr,,,,,,,,,,,,,,,,,
22-Apr,,,,,,,,,,,,,,,,,
23-Apr,,,,,,,,,,,,,,,,,
24-Apr,,,,,,,,,,,,,,,,,
25-Apr,,,,,,,,,,,,,,,,,
26-Apr,,,,,,,,,,,,,,,,,
27-Apr,,,,,,,,,,,,,,,,,
28-Apr,,,,,,,,,,,,,,,,,
29-Apr,,,,,,,,,,,,,,,,,
30-Apr,,,,,,,,,,,,,,,,,
1-May,,,,,,,,,,,,,,,,,
2-May,,,,,,,,,,,,,,,,,
3-May,,,,,,,,,,,,,,,,,
4-May,,,,,,,,,,,,,,,,,
5-May,,,,,,,,,,,,,,,,,
6-May,,,,,,,,,,,,,,,,,
7-May,,,,,,,,,,,,,,,,,
8-May,,,,,,,,,,,,,,,,,
9-May,,,,,,,,,,,,,,,,,
10-May,,,,,,,,,,,,,,,,,
11-May,,,,,,,,,,,,,,,,,
12-May,,,,,,,,,,,,,,,,,
13-May,,,,,,,,,,,,,,,,,
14-May,,,,,,,,,,,,,,,,,
15-May,,,,,,,,,,,,,,,,,
16-May,,,,,,,,,,,,,,,,,
17-May,,,,,,,,,,,,,,,,,
18-May,,,,,,,,,,,,,,,,,
19-May,,,,,,,,,,,,,,,,,
20-May,,,,,,,,,,,,,,,,,
21-May,,,,,,,,,,,,,,,,,
22-May,,,,,,,,,,,,,,,,,
23-May,,,,,,,,,,,,,,,,,
24-May,,,,,,,,,,,,,,,,,
25-May,,,,,,,,,,,,,,,,,
26-May,,,,,,,,,,,,,,,,,
27-May,,,,,,,,,,,,,,,,,
28-May,,,,,,,,,,,,,,,,,
